Well,Fluor,reaction_type,sample_ID,Sample,Starting Quantity for Std,qPCRwell_label,cpD1,cpD2
A01,HEX,Test1,Unkn,10_A_65,NaN,A1,32.98,29.46
A02,HEX,Test1,Unkn,30_A_185,NaN,A2,33.21,29.67
A03,HEX,Test1,Unkn,46_A_281,NaN,A3,32.33,28.51
A04,HEX,Test1,Unkn,233_A_1653,NaN,A4,32.44,28.78
A05,HEX,Test1,Unkn,162_A_941,NaN,A5,31.95,28.16
A06,HEX,Test1,Unkn,170_A_989,NaN,A6,32.95,29.37
A07,HEX,Test1,Unkn,206_A_1329,NaN,A7,32.67,29.08
A08,HEX,Test1,Unkn,212_A_1401,NaN,A8,34.36,31.13
A09,HEX,Test1,Unkn,231_A_1629,NaN,A9,33.91,30.54
A10,HEX,Test1,Unkn,243_A_1793,NaN,A10,35.65,32.77
A11,HEX,Test1,Unkn,221_A_1509,NaN,A11,34.5,31.2
A12,HEX,Test1,Unkn,248_A_1833,NaN,A12,36.68,33.98
A16,HEX,Test1,Std-01,gblock+IRE_plus18IRE,100,A16,17.86,12.83
A17,HEX,Test1,Std-01,gblock+IRE_plus18IRE,100,A17,17.97,12.83
A18,HEX,Test1,Std-01,gblock+IRE_plus18IRE,100,A18,17.95,12.82
A19,HEX,all_products,Std-02,gblock+IRE_plus18IRE,100,A19,19.26,13.68
A20,HEX,all_products,Std-02,gblock+IRE_plus18IRE,100,A20,19.23,13.59
A21,HEX,all_products,Std-02,gblock+IRE_plus18IRE,100,A21,19.22,13.54
A22,HEX,all_products,Std-03,gblock_minusIRE_onlyExonnoIRE,100,A22,18.13,12.52
A23,HEX,all_products,Std-03,gblock_minusIRE_onlyExonnoIRE,100,A23,18.32,12.61
A24,HEX,all_products,Std-03,gblock_minusIRE_onlyExonnoIRE,100,A24,18.37,12.38
B01,HEX,all_products,Unkn,10_A_65,NaN,B1,38.53,36.33
B02,HEX,all_products,Unkn,30_A_185,NaN,B2,39.69,37.67
B03,HEX,all_products,Unkn,46_A_281,NaN,B3,38.83,36.55
B04,HEX,all_products,Unkn,233_A_1653,NaN,B4,38.38,36.16
B05,HEX,all_products,Unkn,162_A_941,NaN,B5,38.14,35.92
B06,HEX,all_products,Unkn,170_A_989,NaN,B6,39.2,36.98
B07,HEX,all_products,Unkn,206_A_1329,NaN,B7,38.87,36.67
B08,HEX,all_products,Unkn,212_A_1401,NaN,B8,40,39.44
B09,HEX,all_products,Unkn,231_A_1629,NaN,B9,40,38.29
B10,HEX,all_products,Unkn,243_A_1793,NaN,B10,40,1
B11,HEX,all_products,Unkn,221_A_1509,NaN,B11,40,38.33
B12,HEX,all_products,Unkn,248_A_1833,NaN,B12,40,1
B16,HEX,Test1,Std-04,gblock+IRE_plus18IRE,0.5,B16,26.12,21.38
B17,HEX,Test1,Std-04,gblock+IRE_plus18IRE,0.5,B17,25.99,21.34
B18,HEX,Test1,Std-04,gblock+IRE_plus18IRE,0.5,B18,25.99,21.29
B19,HEX,all_products,Std-05,gblock+IRE_plus18IRE,0.5,B19,27.59,22.76
B20,HEX,all_products,Std-05,gblock+IRE_plus18IRE,0.5,B20,27.63,22.81
