Height,lw,ln,p,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10
,,,,1,1,1,2,2,2,3,3,4,4
,,,,0.356,0.788,1.29,1.411,2.171,2.457,2.788,3.016,3.1,3.789
70.34214588,0,0,0,A,A,A,A,A,A,A,A,A,A
74.02991451,0,0,0,A,A,A,A,A,A,A,A,A,B
71.94480255,0,0,0,A,A,A,A,A,A,A,A,B,A
74.24534085,0,0,0,A,A,A,A,A,A,A,A,B,B
72.2340549,0,0,0,A,A,A,A,A,A,A,B,A,A
77.0422808,0,0,0,A,A,A,A,A,A,A,B,A,B
74.49121205,0,0,0,A,A,A,A,A,A,A,B,B,A
77.66360837,0,0,0,A,A,A,A,A,A,A,B,B,B
69.67933794,0,0,0,A,A,A,A,A,A,B,A,A,A
73.78077812,0,0,0,A,A,A,A,A,A,B,A,A,B
72.93127724,0,0,0,A,A,A,A,A,A,B,A,B,A
76.68716979,0,0,0,A,A,A,A,A,A,B,A,B,B
74.06840772,0,0,0,A,A,A,A,A,A,B,B,A,A
76.15961262,0,0,0,A,A,A,A,A,A,B,B,A,B
75.91111561,0,0,0,A,A,A,A,A,A,B,B,B,A
77.54360322,0,0,0,A,A,A,A,A,A,B,B,B,B
70.811163,0,0,0,A,A,A,A,A,B,A,A,A,A
74.80783769,0,0,0,A,A,A,A,A,B,A,A,A,B
73.14406151,0,0,0,A,A,A,A,A,B,A,A,B,A
75.8226277,0,0,0,A,A,A,A,A,B,A,A,B,B
72.85614842,0,0,0,A,A,A,A,A,B,A,B,A,A
76.5681252,0,0,0,A,A,A,A,A,B,A,B,A,B
75.86141393,0,0,0,A,A,A,A,A,B,A,B,B,A
80.29479297,0,0,0,A,A,A,A,A,B,A,B,B,B
71.58497253,0,0,0,A,A,A,A,A,B,B,A,A,A
75.65984484,0,0,0,A,A,A,A,A,B,B,A,A,B
74.23655764,0,0,0,A,A,A,A,A,B,B,A,B,A
77.17664515,0,0,0,A,A,A,A,A,B,B,A,B,B
75.45522972,0,0,0,A,A,A,A,A,B,B,B,A,A
77.79860375,0,0,0,A,A,A,A,A,B,B,B,A,B
76.79297651,0,0,0,A,A,A,A,A,B,B,B,B,A
78.81112267,0,0,0,A,A,A,A,A,B,B,B,B,B
71.16897306,0,0,0,A,A,A,A,B,A,A,A,A,A
76.51529075,0,0,0,A,A,A,A,B,A,A,A,A,B
74.36038506,0,0,0,A,A,A,A,B,A,A,A,B,A
78.08237488,0,0,0,A,A,A,A,B,A,A,A,B,B
74.39362186,0,0,0,A,A,A,A,B,A,A,B,A,A
79.66733626,0,0,0,A,A,A,A,B,A,A,B,A,B
76.71382672,0,0,0,A,A,A,A,B,A,A,B,B,A
81.44744156,0,0,0,A,A,A,A,B,A,A,B,B,B
74.01613289,0,0,0,A,A,A,A,B,A,B,A,A,A
77.12704587,0,0,0,A,A,A,A,B,A,B,A,A,B
75.57739377,0,0,0,A,A,A,A,B,A,B,A,B,A
79.25637036,0,0,0,A,A,A,A,B,A,B,A,B,B
76.51112382,0,0,0,A,A,A,A,B,A,B,B,A,A
79.27390257,0,0,0,A,A,A,A,B,A,B,B,A,B
77.45064963,0,0,0,A,A,A,A,B,A,B,B,B,A
80.76071214,0,0,0,A,A,A,A,B,A,B,B,B,B
75.14632336,0,0,0,A,A,A,A,B,B,A,A,A,A
77.07460693,0,0,0,A,A,A,A,B,B,A,A,A,B
75.77768494,0,0,0,A,A,A,A,B,B,A,A,B,A
79.60390166,0,0,0,A,A,A,A,B,B,A,A,B,B
76.95785924,0,0,0,A,A,A,A,B,B,A,B,A,A
79.53175231,0,0,0,A,A,A,A,B,B,A,B,A,B
78.56902821,0,0,0,A,A,A,A,B,B,A,B,B,A
82.02474593,0,0,0,A,A,A,A,B,B,A,B,B,B
74.42902451,0,0,0,A,A,A,A,B,B,B,A,A,A
78.07501939,0,0,0,A,A,A,A,B,B,B,A,A,B
77.4186733,0,0,0,A,A,A,A,B,B,B,A,B,A
80.01303648,0,0,0,A,A,A,A,B,B,B,A,B,B
77.52391487,0,0,0,A,A,A,A,B,B,B,B,A,A
81.06107689,0,0,0,A,A,A,A,B,B,B,B,A,B
79.50675291,0,0,0,A,A,A,A,B,B,B,B,B,A
83.64502263,0,0,0,A,A,A,A,B,B,B,B,B,B
73.18920464,0,0,0,A,A,A,B,A,A,A,A,A,A
77.36345231,0,0,0,A,A,A,B,A,A,A,A,A,B
75.82659306,0,0,0,A,A,A,B,A,A,A,A,B,A
77.8365356,0,0,0,A,A,A,B,A,A,A,A,B,B
76.39880526,0,0,0,A,A,A,B,A,A,A,B,A,A
78.56440625,0,0,0,A,A,A,B,A,A,A,B,A,B
78.0644357,0,0,0,A,A,A,B,A,A,A,B,B,A
80.57408108,0,0,0,A,A,A,B,A,A,A,B,B,B
73.60740281,0,0,0,A,A,A,B,A,A,B,A,A,A
75.92172991,0,0,0,A,A,A,B,A,A,B,A,A,B
75.70398455,0,0,0,A,A,A,B,A,A,B,A,B,A
78.8685555,0,0,0,A,A,A,B,A,A,B,A,B,B
75.68519074,0,0,0,A,A,A,B,A,A,B,B,A,A
79.99717436,0,0,0,A,A,A,B,A,A,B,B,A,B
78.5717509,0,0,0,A,A,A,B,A,A,B,B,B,A
81.72774027,0,0,0,A,A,A,B,A,A,B,B,B,B
72.66420692,0,0,0,A,A,A,B,A,B,A,A,A,A
78.11274479,0,0,0,A,A,A,B,A,B,A,A,A,B
77.02497862,0,0,0,A,A,A,B,A,B,A,A,B,A
80.29618977,0,0,0,A,A,A,B,A,B,A,A,B,B
77.69471155,0,0,0,A,A,A,B,A,B,A,B,A,A
80.31694403,0,0,0,A,A,A,B,A,B,A,B,A,B
79.95258989,0,0,0,A,A,A,B,A,B,A,B,B,A
83.63584005,0,0,0,A,A,A,B,A,B,A,B,B,B
75.20279644,0,0,0,A,A,A,B,A,B,B,A,A,A
78.72900466,0,0,0,A,A,A,B,A,B,B,A,A,B
75.31468804,0,0,0,A,A,A,B,A,B,B,A,B,A
81.7027677,0,0,0,A,A,A,B,A,B,B,A,B,B
77.91846708,0,0,0,A,A,A,B,A,B,B,B,A,A
81.88297528,0,0,0,A,A,A,B,A,B,B,B,A,B
79.95112642,0,0,0,A,A,A,B,A,B,B,B,B,A
83.05769171,0,0,0,A,A,A,B,A,B,B,B,B,B
76.29306636,0,0,0,A,A,A,B,B,A,A,A,A,A
78.3765853,0,0,0,A,A,A,B,B,A,A,A,A,B
76.72646329,0,0,0,A,A,A,B,B,A,A,A,B,A
81.32598648,0,0,0,A,A,A,B,B,A,A,A,B,B
78.98282373,0,0,0,A,A,A,B,B,A,A,B,A,A
80.35608393,0,0,0,A,A,A,B,B,A,A,B,A,B
80.68270422,0,0,0,A,A,A,B,B,A,A,B,B,A
82.57895921,0,0,0,A,A,A,B,B,A,A,B,B,B
74.85393716,0,0,0,A,A,A,B,B,A,B,A,A,A
80.53145023,0,0,0,A,A,A,B,B,A,B,A,A,B
77.77353763,0,0,0,A,A,A,B,B,A,B,A,B,A
82.47922641,0,0,0,A,A,A,B,B,A,B,A,B,B
78.89788754,0,0,0,A,A,A,B,B,A,B,B,A,A
81.44380774,0,0,0,A,A,A,B,B,A,B,B,A,B
80.20474949,0,0,0,A,A,A,B,B,A,B,B,B,A
83.76337367,0,0,0,A,A,A,B,B,A,B,B,B,B
77.35990328,0,0,0,A,A,A,B,B,B,A,A,A,A
79.98346714,0,0,0,A,A,A,B,B,B,A,A,A,B
79.56513304,0,0,0,A,A,A,B,B,B,A,A,B,A
81.66688274,0,0,0,A,A,A,B,B,B,A,A,B,B
80.65828496,0,0,0,A,A,A,B,B,B,A,B,A,A
82.81177191,0,0,0,A,A,A,B,B,B,A,B,A,B
82.52095768,0,0,0,A,A,A,B,B,B,A,B,B,A
84.17738728,0,0,0,A,A,A,B,B,B,A,B,B,B
77.79479258,0,0,0,A,A,A,B,B,B,B,A,A,A
81.45050242,0,0,0,A,A,A,B,B,B,B,A,A,B
79.89685935,0,0,0,A,A,A,B,B,B,B,A,B,A
83.75353151,0,0,0,A,A,A,B,B,B,B,A,B,B
80.53019658,0,0,0,A,A,A,B,B,B,B,B,A,A
84.73300989,0,0,0,A,A,A,B,B,B,B,B,A,B
82.74208547,0,0,0,A,A,A,B,B,B,B,B,B,A
85.29952582,0,0,0,A,A,A,B,B,B,B,B,B,B
74.64824701,0,0,0,A,A,B,A,A,A,A,A,A,A
76.02989174,0,0,0,A,A,B,A,A,A,A,A,A,B
74.62913796,0,0,0,A,A,B,A,A,A,A,A,B,A
78.52501921,0,0,0,A,A,B,A,A,A,A,A,B,B
75.99303786,0,0,0,A,A,B,A,A,A,A,B,A,A
79.40498144,0,0,0,A,A,B,A,A,A,A,B,A,B
77.64828304,0,0,0,A,A,B,A,A,A,A,B,B,A
82.14638606,0,0,0,A,A,B,A,A,A,A,B,B,B
74.22984789,0,0,0,A,A,B,A,A,A,B,A,A,A
75.93177506,0,0,0,A,A,B,A,A,A,B,A,A,B
77.14622869,0,0,0,A,A,B,A,A,A,B,A,B,A
80.2378509,0,0,0,A,A,B,A,A,A,B,A,B,B
77.98610013,0,0,0,A,A,B,A,A,A,B,B,A,A
79.90136082,0,0,0,A,A,B,A,A,A,B,B,A,B
78.37228147,0,0,0,A,A,B,A,A,A,B,B,B,A
82.01312665,0,0,0,A,A,B,A,A,A,B,B,B,B
76.34900266,0,0,0,A,A,B,A,A,B,A,A,A,A
79.14070415,0,0,0,A,A,B,A,A,B,A,A,A,B
77.06328839,0,0,0,A,A,B,A,A,B,A,A,B,A
79.44533326,0,0,0,A,A,B,A,A,B,A,A,B,B
78.6336478,0,0,0,A,A,B,A,A,B,A,B,A,A
81.08459592,0,0,0,A,A,B,A,A,B,A,B,A,B
80.03801205,0,0,0,A,A,B,A,A,B,A,B,B,A
83.05826315,0,0,0,A,A,B,A,A,B,A,B,B,B
76.41652633,0,0,0,A,A,B,A,A,B,B,A,A,A
79.35380014,0,0,0,A,A,B,A,A,B,B,A,A,B
79.44991926,0,0,0,A,A,B,A,A,B,B,A,B,A
81.12802844,0,0,0,A,A,B,A,A,B,B,A,B,B
79.37871933,0,0,0,A,A,B,A,A,B,B,B,A,A
81.50434812,0,0,0,A,A,B,A,A,B,B,B,A,B
81.20940216,0,0,0,A,A,B,A,A,B,B,B,B,A
84.24600204,0,0,0,A,A,B,A,A,B,B,B,B,B
76.54154804,0,0,0,A,A,B,A,B,A,A,A,A,A
79.02440306,0,0,0,A,A,B,A,B,A,A,A,A,B
78.26949387,0,0,0,A,A,B,A,B,A,A,A,B,A
81.88926439,0,0,0,A,A,B,A,B,A,A,A,B,B
78.47359294,0,0,0,A,A,B,A,B,A,A,B,A,A
82.35399675,0,0,0,A,A,B,A,B,A,A,B,A,B
80.92571988,0,0,0,A,A,B,A,B,A,A,B,B,A
84.78865973,0,0,0,A,A,B,A,B,A,A,B,B,B
76.72249729,0,0,0,A,A,B,A,B,A,B,A,A,A
79.39722884,0,0,0,A,A,B,A,B,A,B,A,A,B
78.91312811,0,0,0,A,A,B,A,B,A,B,A,B,A
82.30573609,0,0,0,A,A,B,A,B,A,B,A,B,B
78.54164052,0,0,0,A,A,B,A,B,A,B,B,A,A
81.07446706,0,0,0,A,A,B,A,B,A,B,B,A,B
80.31760912,0,0,0,A,A,B,A,B,A,B,B,B,A
84.76321994,0,0,0,A,A,B,A,B,A,B,B,B,B
77.61175385,0,0,0,A,A,B,A,B,B,A,A,A,A
80.43023396,0,0,0,A,A,B,A,B,B,A,A,A,B
80.22825403,0,0,0,A,A,B,A,B,B,A,A,B,A
81.36975386,0,0,0,A,A,B,A,B,B,A,A,B,B
80.75212682,0,0,0,A,A,B,A,B,B,A,B,A,A
84.34860672,0,0,0,A,A,B,A,B,B,A,B,A,B
82.76677163,0,0,0,A,A,B,A,B,B,A,B,B,A
85.43656779,0,0,0,A,A,B,A,B,B,A,B,B,B
79.00302508,0,0,0,A,A,B,A,B,B,B,A,A,A
