"","height_data","i","j","k","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"Height",70.3421458826767,0,0,0,0,0,0,0,0,0,0,0,0,0
"Height.1",74.0299145050147,0,0,0,0,0,0,0,0,0,0,0,0,1
"Height.2",71.9448025545242,0,0,0,0,0,0,0,0,0,0,0,1,0
"Height.3",74.2453408547902,0,0,0,0,0,0,0,0,0,0,0,1,1
"Height.4",72.2340549019145,0,0,0,0,0,0,0,0,0,0,1,0,0
"Height.5",77.0422808003008,0,0,0,0,0,0,0,0,0,0,1,0,1
"Height.6",74.4912120546043,0,0,0,0,0,0,0,0,0,0,1,1,0
"Height.7",77.6636083680841,0,0,0,0,0,0,0,0,0,0,1,1,1
"Height.8",69.6793379438005,0,0,0,0,0,0,0,0,0,1,0,0,0
"Height.9",73.7807781158968,0,0,0,0,0,0,0,0,0,1,0,0,1
"Height.10",72.9312772431952,0,0,0,0,0,0,0,0,0,1,0,1,0
"Height.11",76.6871697915884,0,0,0,0,0,0,0,0,0,1,0,1,1
"Height.12",74.0684077249018,0,0,0,0,0,0,0,0,0,1,1,0,0
"Height.13",76.1596126163628,0,0,0,0,0,0,0,0,0,1,1,0,1
"Height.14",75.9111156119254,0,0,0,0,0,0,0,0,0,1,1,1,0
"Height.15",77.5436032158382,0,0,0,0,0,0,0,0,0,1,1,1,1
"Height.16",70.8111630038428,0,0,0,0,0,0,0,0,1,0,0,0,0
"Height.17",74.8078376913249,0,0,0,0,0,0,0,0,1,0,0,0,1
"Height.18",73.1440615110172,0,0,0,0,0,0,0,0,1,0,0,1,0
"Height.19",75.8226277012499,0,0,0,0,0,0,0,0,1,0,0,1,1
"Height.20",72.8561484247523,0,0,0,0,0,0,0,0,1,0,1,0,0
"Height.21",76.5681252009759,0,0,0,0,0,0,0,0,1,0,1,0,1
"Height.22",75.8614139267599,0,0,0,0,0,0,0,0,1,0,1,1,0
"Height.23",80.2947929708201,0,0,0,0,0,0,0,0,1,0,1,1,1
"Height.24",71.5849725250185,0,0,0,0,0,0,0,0,1,1,0,0,0
"Height.25",75.6598448437707,0,0,0,0,0,0,0,0,1,1,0,0,1
"Height.26",74.2365576361784,0,0,0,0,0,0,0,0,1,1,0,1,0
"Height.27",77.1766451516145,0,0,0,0,0,0,0,0,1,1,0,1,1
"Height.28",75.4552297237385,0,0,0,0,0,0,0,0,1,1,1,0,0
"Height.29",77.7986037473157,0,0,0,0,0,0,0,0,1,1,1,0,1
"Height.30",76.7929765138578,0,0,0,0,0,0,0,0,1,1,1,1,0
"Height.31",78.811122668258,0,0,0,0,0,0,0,0,1,1,1,1,1
"Height.32",71.1689730615926,0,0,0,0,0,0,0,1,0,0,0,0,0
"Height.33",76.5152907520481,0,0,0,0,0,0,0,1,0,0,0,0,1
"Height.34",74.3603850648396,0,0,0,0,0,0,0,1,0,0,0,1,0
"Height.35",78.0823748785256,0,0,0,0,0,0,0,1,0,0,0,1,1
"Height.36",74.3936218623106,0,0,0,0,0,0,0,1,0,0,1,0,0
"Height.37",79.66733626021,0,0,0,0,0,0,0,1,0,0,1,0,1
"Height.38",76.7138267166228,0,0,0,0,0,0,0,1,0,0,1,1,0
"Height.39",81.4474415622655,0,0,0,0,0,0,0,1,0,0,1,1,1
"Height.40",74.0161328926041,0,0,0,0,0,0,0,1,0,1,0,0,0
"Height.41",77.1270458748282,0,0,0,0,0,0,0,1,0,1,0,0,1
"Height.42",75.5773937690399,0,0,0,0,0,0,0,1,0,1,0,1,0
"Height.43",79.2563703630993,0,0,0,0,0,0,0,1,0,1,0,1,1
"Height.44",76.5111238186319,0,0,0,0,0,0,0,1,0,1,1,0,0
"Height.45",79.2739025732204,0,0,0,0,0,0,0,1,0,1,1,0,1
"Height.46",77.4506496327244,0,0,0,0,0,0,0,1,0,1,1,1,0
"Height.47",80.7607121399519,0,0,0,0,0,0,0,1,0,1,1,1,1
"Height.48",75.1463233610375,0,0,0,0,0,0,0,1,1,0,0,0,0
"Height.49",77.0746069303005,0,0,0,0,0,0,0,1,1,0,0,0,1
"Height.50",75.7776849412128,0,0,0,0,0,0,0,1,1,0,0,1,0
"Height.51",79.603901658213,0,0,0,0,0,0,0,1,1,0,0,1,1
"Height.52",76.957859236823,0,0,0,0,0,0,0,1,1,0,1,0,0
"Height.53",79.5317523122581,0,0,0,0,0,0,0,1,1,0,1,0,1
"Height.54",78.5690282080237,0,0,0,0,0,0,0,1,1,0,1,1,0
"Height.55",82.0247459305377,0,0,0,0,0,0,0,1,1,0,1,1,1
"Height.56",74.4290245099083,0,0,0,0,0,0,0,1,1,1,0,0,0
"Height.57",78.0750193949749,0,0,0,0,0,0,0,1,1,1,0,0,1
"Height.58",77.4186733044352,0,0,0,0,0,0,0,1,1,1,0,1,0
"Height.59",80.0130364757897,0,0,0,0,0,0,0,1,1,1,0,1,1
"Height.60",77.5239148697069,0,0,0,0,0,0,0,1,1,1,1,0,0
"Height.61",81.0610768908164,0,0,0,0,0,0,0,1,1,1,1,0,1
"Height.62",79.5067529110318,0,0,0,0,0,0,0,1,1,1,1,1,0
"Height.63",83.6450226343305,0,0,0,0,0,0,0,1,1,1,1,1,1
"Height.64",73.1892046418266,0,0,0,0,0,0,1,0,0,0,0,0,0
"Height.65",77.3634523067144,0,0,0,0,0,0,1,0,0,0,0,0,1
"Height.66",75.8265930600717,0,0,0,0,0,0,1,0,0,0,0,1,0
"Height.67",77.8365356040308,0,0,0,0,0,0,1,0,0,0,0,1,1
"Height.68",76.3988052640777,0,0,0,0,0,0,1,0,0,0,1,0,0
"Height.69",78.5644062461613,0,0,0,0,0,0,1,0,0,0,1,0,1
"Height.70",78.0644357038108,0,0,0,0,0,0,1,0,0,0,1,1,0
"Height.71",80.574081082343,0,0,0,0,0,0,1,0,0,0,1,1,1
"Height.72",73.6074028073426,0,0,0,0,0,0,1,0,0,1,0,0,0
"Height.73",75.921729909097,0,0,0,0,0,0,1,0,0,1,0,0,1
"Height.74",75.7039845482966,0,0,0,0,0,0,1,0,0,1,0,1,0
"Height.75",78.8685554974684,0,0,0,0,0,0,1,0,0,1,0,1,1
"Height.76",75.6851907412626,0,0,0,0,0,0,1,0,0,1,1,0,0
"Height.77",79.9971743616706,0,0,0,0,0,0,1,0,0,1,1,0,1
"Height.78",78.571750903902,0,0,0,0,0,0,1,0,0,1,1,1,0
"Height.79",81.7277402689599,0,0,0,0,0,0,1,0,0,1,1,1,1
"Height.80",72.6642069199442,0,0,0,0,0,0,1,0,1,0,0,0,0
"Height.81",78.1127447879958,0,0,0,0,0,0,1,0,1,0,0,0,1
"Height.82",77.0249786230388,0,0,0,0,0,0,1,0,1,0,0,1,0
"Height.83",80.29618977212,0,0,0,0,0,0,1,0,1,0,0,1,1
"Height.84",77.6947115546274,0,0,0,0,0,0,1,0,1,0,1,0,0
"Height.85",80.3169440262789,0,0,0,0,0,0,1,0,1,0,1,0,1
"Height.86",79.9525898883709,0,0,0,0,0,0,1,0,1,0,1,1,0
"Height.87",83.6358400541929,0,0,0,0,0,0,1,0,1,0,1,1,1
"Height.88",75.2027964351395,0,0,0,0,0,0,1,0,1,1,0,0,0
"Height.89",78.7290046625607,0,0,0,0,0,0,1,0,1,1,0,0,1
"Height.90",75.314688044185,0,0,0,0,0,0,1,0,1,1,0,1,0
"Height.91",81.7027676964729,0,0,0,0,0,0,1,0,1,1,0,1,1
"Height.92",77.9184670822301,0,0,0,0,0,0,1,0,1,1,1,0,0
"Height.93",81.882975281456,0,0,0,0,0,0,1,0,1,1,1,0,1
