Height,lw,ln,p,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10
,,,,1,1,1,2,2,2,3,3,4,4
,,,,0.356,0.788,1.29,1.411,2.171,2.457,2.788,3.016,3.1,3.789
69.91239004,0,0,0,0,0,0,0,0,0,0,0,0,0
73.13069697,0,0,0,0,0,0,0,0,0,0,0,0,1
71.88790636,0,0,0,0,0,0,0,0,0,0,0,1,0
75.59713657,0,0,0,0,0,0,0,0,0,0,0,1,1
73.17537153,0,0,0,0,0,0,0,0,0,0,1,0,0
76.44856055,0,0,0,0,0,0,0,0,0,0,1,0,1
75.57896906,0,0,0,0,0,0,0,0,0,0,1,1,0
77.8488141,0,0,0,0,0,0,0,0,0,0,1,1,1
71.60165892,0,0,0,0,0,0,0,0,0,1,0,0,0
74.28550235,0,0,0,0,0,0,0,0,0,1,0,0,1
72.27682799,0,0,0,0,0,0,0,0,0,1,0,1,0
77.01595773,0,0,0,0,0,0,0,0,0,1,0,1,1
72.99184281,0,0,0,0,0,0,0,0,0,1,1,0,0
77.6266606,0,0,0,0,0,0,0,0,0,1,1,0,1
75.23412612,0,0,0,0,0,0,0,0,0,1,1,1,0
78.4401586,0,0,0,0,0,0,0,0,0,1,1,1,1
70.73493457,0,0,0,0,0,0,0,0,1,0,0,0,0
74.51766193,0,0,0,0,0,0,0,0,1,0,0,0,1
72.51151608,0,0,0,0,0,0,0,0,1,0,0,1,0
76.79660796,0,0,0,0,0,0,0,0,1,0,0,1,1
74.2739314,0,0,0,0,0,0,0,0,1,0,1,0,0
77.67874114,0,0,0,0,0,0,0,0,1,0,1,0,1
76.89500409,0,0,0,0,0,0,0,0,1,0,1,1,0
79.60472063,0,0,0,0,0,0,0,0,1,0,1,1,1
72.49809624,0,0,0,0,0,0,0,0,1,1,0,0,0
76.22956844,0,0,0,0,0,0,0,0,1,1,0,0,1
74.32150816,0,0,0,0,0,0,0,0,1,1,0,1,0
77.37614867,0,0,0,0,0,0,0,0,1,1,0,1,1
74.72108835,0,0,0,0,0,0,0,0,1,1,1,0,0
77.31777848,0,0,0,0,0,0,0,0,1,1,1,0,1
75.43248232,0,0,0,0,0,0,0,0,1,1,1,1,0
79.85448308,0,0,0,0,0,0,0,0,1,1,1,1,1
72.64456221,0,0,0,0,0,0,0,1,0,0,0,0,0
75.07130702,0,0,0,0,0,0,0,1,0,0,0,0,1
74.26977605,0,0,0,0,0,0,0,1,0,0,0,1,0
77.67639035,0,0,0,0,0,0,0,1,0,0,0,1,1
74.78181131,0,0,0,0,0,0,0,1,0,0,1,0,0
78.14412214,0,0,0,0,0,0,0,1,0,0,1,0,1
76.27829196,0,0,0,0,0,0,0,1,0,0,1,1,0
80.41382035,0,0,0,0,0,0,0,1,0,0,1,1,1
74.75927331,0,0,0,0,0,0,0,1,0,1,0,0,0
76.31960064,0,0,0,0,0,0,0,1,0,1,0,0,1
76.03702918,0,0,0,0,0,0,0,1,0,1,0,1,0
77.54610284,0,0,0,0,0,0,0,1,0,1,0,1,1
75.54647751,0,0,0,0,0,0,0,1,0,1,1,0,0
79.52224912,0,0,0,0,0,0,0,1,0,1,1,0,1
78.03580687,0,0,0,0,0,0,0,1,0,1,1,1,0
80.14614762,0,0,0,0,0,0,0,1,0,1,1,1,1
75.16367225,0,0,0,0,0,0,0,1,1,0,0,0,0
77.4171649,0,0,0,0,0,0,0,1,1,0,0,0,1
75.9752146,0,0,0,0,0,0,0,1,1,0,0,1,0
79.26515981,0,0,0,0,0,0,0,1,1,0,0,1,1
76.86209005,0,0,0,0,0,0,0,1,1,0,1,0,0
79.86316894,0,0,0,0,0,0,0,1,1,0,1,0,1
79.43614867,0,0,0,0,0,0,0,1,1,0,1,1,0
81.79588366,0,0,0,0,0,0,0,1,1,0,1,1,1
75.28939735,0,0,0,0,0,0,0,1,1,1,0,0,0
79.02350864,0,0,0,0,0,0,0,1,1,1,0,0,1
77.23083367,0,0,0,0,0,0,0,1,1,1,0,1,0
80.26508518,0,0,0,0,0,0,0,1,1,1,0,1,1
77.40488296,0,0,0,0,0,0,0,1,1,1,1,0,0
80.615458,0,0,0,0,0,0,0,1,1,1,1,0,1
80.07380891,0,0,0,0,0,0,0,1,1,1,1,1,0
83.01447485,0,0,0,0,0,0,0,1,1,1,1,1,1
129.5831679,0,0,0,0,0,0,1,0,0,0,0,0,0
133.2382417,0,0,0,0,0,0,1,0,0,0,0,0,1
131.9140966,0,0,0,0,0,0,1,0,0,0,0,1,0
135.5580986,0,0,0,0,0,0,1,0,0,0,0,1,1
132.4756886,0,0,0,0,0,0,1,0,0,0,1,0,0
136.4364526,0,0,0,0,0,0,1,0,0,0,1,0,1
134.5928483,0,0,0,0,0,0,1,0,0,0,1,1,0
139.1477504,0,0,0,0,0,0,1,0,0,0,1,1,1
131.7460133,0,0,0,0,0,0,1,0,0,1,0,0,0
134.6767353,0,0,0,0,0,0,1,0,0,1,0,0,1
132.9198083,0,0,0,0,0,0,1,0,0,1,0,1,0
135.4489232,0,0,0,0,0,0,1,0,0,1,0,1,1
134.0400794,0,0,0,0,0,0,1,0,0,1,1,0,0
137.3917361,0,0,0,0,0,0,1,0,0,1,1,0,1
134.841416,0,0,0,0,0,0,1,0,0,1,1,1,0
139.9856341,0,0,0,0,0,0,1,0,0,1,1,1,1
132.7791437,0,0,0,0,0,0,1,0,1,0,0,0,0
135.224381,0,0,0,0,0,0,1,0,1,0,0,0,1
133.8259489,0,0,0,0,0,0,1,0,1,0,0,1,0
136.6103338,0,0,0,0,0,0,1,0,1,0,0,1,1
135.0277427,0,0,0,0,0,0,1,0,1,0,1,0,0
136.8063179,0,0,0,0,0,0,1,0,1,0,1,0,1
136.7003381,0,0,0,0,0,0,1,0,1,0,1,1,0
139.1643814,0,0,0,0,0,0,1,0,1,0,1,1,1
131.9505478,0,0,0,0,0,0,1,0,1,1,0,0,0
135.2565257,0,0,0,0,0,0,1,0,1,1,0,0,1
135.3132978,0,0,0,0,0,0,1,0,1,1,0,1,0
138.182068,0,0,0,0,0,0,1,0,1,1,0,1,1
133.8801812,0,0,0,0,0,0,1,0,1,1,1,0,0
137.7841323,0,0,0,0,0,0,1,0,1,1,1,0,1
137.6268874,0,0,0,0,0,0,1,0,1,1,1,1,0
140.1701588,0,0,0,0,0,0,1,0,1,1,1,1,1
133.0843501,0,0,0,0,0,0,1,1,0,0,0,0,0
135.721956,0,0,0,0,0,0,1,1,0,0,0,0,1
134.7178099,0,0,0,0,0,0,1,1,0,0,0,1,0
137.2381458,0,0,0,0,0,0,1,1,0,0,0,1,1
134.7293968,0,0,0,0,0,0,1,1,0,0,1,0,0
138.7900725,0,0,0,0,0,0,1,1,0,0,1,0,1
138.3233988,0,0,0,0,0,0,1,1,0,0,1,1,0
141.4110368,0,0,0,0,0,0,1,1,0,0,1,1,1
134.1488924,0,0,0,0,0,0,1,1,0,1,0,0,0
136.1705505,0,0,0,0,0,0,1,1,0,1,0,0,1
135.0830817,0,0,0,0,0,0,1,1,0,1,0,1,0
139.2004033,0,0,0,0,0,0,1,1,0,1,0,1,1
135.5073373,0,0,0,0,0,0,1,1,0,1,1,0,0
138.9352303,0,0,0,0,0,0,1,1,0,1,1,0,1
138.3851283,0,0,0,0,0,0,1,1,0,1,1,1,0
141.179889,0,0,0,0,0,0,1,1,0,1,1,1,1
133.8711259,0,0,0,0,0,0,1,1,1,0,0,0,0
136.7503852,0,0,0,0,0,0,1,1,1,0,0,0,1
136.3740709,0,0,0,0,0,0,1,1,1,0,0,1,0
139.1575857,0,0,0,0,0,0,1,1,1,0,0,1,1
137.0891706,0,0,0,0,0,0,1,1,1,0,1,0,0
139.8504981,0,0,0,0,0,0,1,1,1,0,1,0,1
137.5598903,0,0,0,0,0,0,1,1,1,0,1,1,0
141.500923,0,0,0,0,0,0,1,1,1,0,1,1,1
135.0157677,0,0,0,0,0,0,1,1,1,1,0,0,0
137.4068696,0,0,0,0,0,0,1,1,1,1,0,0,1
137.160261,0,0,0,0,0,0,1,1,1,1,0,1,0
140.1858174,0,0,0,0,0,0,1,1,1,1,0,1,1
136.4457035,0,0,0,0,0,0,1,1,1,1,1,0,0
140.4929817,0,0,0,0,0,0,1,1,1,1,1,0,1
139.2354682,0,0,0,0,0,0,1,1,1,1,1,1,0
142.6327215,0,0,0,0,0,0,1,1,1,1,1,1,1
73.00166996,0,0,0,0,0,1,0,0,0,0,0,0,0
75.53905109,0,0,0,0,0,1,0,0,0,0,0,0,1
75.66482732,0,0,0,0,0,1,0,0,0,0,0,1,0
78.99801417,0,0,0,0,0,1,0,0,0,0,0,1,1
76.2275634,0,0,0,0,0,1,0,0,0,0,1,0,0
78.77033294,0,0,0,0,0,1,0,0,0,0,1,0,1
78.89986193,0,0,0,0,0,1,0,0,0,0,1,1,0
80.19109503,0,0,0,0,0,1,0,0,0,0,1,1,1
74.46628528,0,0,0,0,0,1,0,0,0,1,0,0,0
75.84181101,0,0,0,0,0,1,0,0,0,1,0,0,1
75.71519224,0,0,0,0,0,1,0,0,0,1,0,1,0
77.60182506,0,0,0,0,0,1,0,0,0,1,0,1,1
77.41741552,0,0,0,0,0,1,0,0,0,1,1,0,0
80.28755796,0,0,0,0,0,1,0,0,0,1,1,0,1
79.11389614,0,0,0,0,0,1,0,0,0,1,1,1,0
81.85067401,0,0,0,0,0,1,0,0,0,1,1,1,1
74.61578237,0,0,0,0,0,1,0,0,1,0,0,0,0
78.68568344,0,0,0,0,0,1,0,0,1,0,0,0,1
76.8926572,0,0,0,0,0,1,0,0,1,0,0,1,0
79.62166038,0,0,0,0,0,1,0,0,1,0,0,1,1
78.32331868,0,0,0,0,0,1,0,0,1,0,1,0,0
80.36659547,0,0,0,0,0,1,0,0,1,0,1,0,1
79.32154513,0,0,0,0,0,1,0,0,1,0,1,1,0
82.89542227,0,0,0,0,0,1,0,0,1,0,1,1,1
76.46035079,0,0,0,0,0,1,0,0,1,1,0,0,0
78.88543437,0,0,0,0,0,1,0,0,1,1,0,0,1
77.37005444,0,0,0,0,0,1,0,0,1,1,0,1,0
81.47171354,0,0,0,0,0,1,0,0,1,1,0,1,1
78.07385293,0,0,0,0,0,1,0,0,1,1,1,0,0
81.26102605,0,0,0,0,0,1,0,0,1,1,1,0,1
81.46315874,0,0,0,0,0,1,0,0,1,1,1,1,0
84.09117181,0,0,0,0,0,1,0,0,1,1,1,1,1
75.37599825,0,0,0,0,0,1,0,1,0,0,0,0,0
79.6291505,0,0,0,0,0,1,0,1,0,0,0,0,1
77.97422166,0,0,0,0,0,1,0,1,0,0,0,1,0
82.15935525,0,0,0,0,0,1,0,1,0,0,0,1,1
81.60753701,0,0,0,0,0,1,0,1,0,0,1,0,0
81.95015608,0,0,0,0,0,1,0,1,0,0,1,0,1
81.64269681,0,0,0,0,0,1,0,1,0,0,1,1,0
83.859957,0,0,0,0,0,1,0,1,0,0,1,1,1
77.01593209,0,0,0,0,0,1,0,1,0,1,0,0,0
78.60940826,0,0,0,0,0,1,0,1,0,1,0,0,1
78.80740597,0,0,0,0,0,1,0,1,0,1,0,1,0
83.09262416,0,0,0,0,0,1,0,1,0,1,0,1,1
80.48088699,0,0,0,0,0,1,0,1,0,1,1,0,0
83.76791607,0,0,0,0,0,1,0,1,0,1,1,0,1
81.06367451,0,0,0,0,0,1,0,1,0,1,1,1,0
85.2353331,0,0,0,0,0,1,0,1,0,1,1,1,1
77.52344254,0,0,0,0,0,1,0,1,1,0,0,0,0
81.55956695,0,0,0,0,0,1,0,1,1,0,0,0,1
79.20630921,0,0,0,0,0,1,0,1,1,0,0,1,0
82.09048972,0,0,0,0,0,1,0,1,1,0,0,1,1
80.29696601,0,0,0,0,0,1,0,1,1,0,1,0,0
83.99167413,0,0,0,0,0,1,0,1,1,0,1,0,1
82.643919,0,0,0,0,0,1,0,1,1,0,1,1,0
85.51013576,0,0,0,0,0,1,0,1,1,0,1,1,1
77.62971021,0,0,0,0,0,1,0,1,1,1,0,0,0
81.0242253,0,0,0,0,0,1,0,1,1,1,0,0,1
