"","height_data","LW","LN","P","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10"
"Height",69.8750053980559,0,0,0,"B","B","B","B","B","B","B","B","B","B","B","B","A","B","A","A","B","A","B","B"
"Height.1",73.3927108869502,0,0,0,"B","B","B","B","B","B","B","B","B","A","A","B","A","B","B","A","A","A","A","B"
"Height.2",72.1080965602807,0,0,0,"B","B","B","B","B","B","B","B","A","B","A","B","B","B","B","B","B","B","B","B"
"Height.3",75.042107264531,0,0,0,"B","B","B","B","B","B","B","B","A","A","B","B","B","A","B","B","A","B","B","A"
"Height.4",73.0084136199691,0,0,0,"B","B","B","B","B","B","B","A","B","B","B","A","B","A","B","A","B","A","A","A"
"Height.5",77.0196304096474,0,0,0,"B","B","B","B","B","B","B","A","B","A","B","B","A","B","A","B","B","B","A","B"
"Height.6",74.4876915042665,0,0,0,"B","B","B","B","B","B","B","A","A","B","B","A","B","B","B","A","B","A","A","B"
"Height.7",77.996071746444,0,0,0,"B","B","B","B","B","B","B","A","A","A","B","A","A","A","B","B","B","B","A","A"
"Height.8",70.8254974517571,0,0,0,"B","B","B","B","B","B","A","B","B","B","B","A","A","A","B","A","A","B","A","B"
"Height.9",75.1022502920293,0,0,0,"B","B","B","B","B","B","A","B","B","A","B","A","B","B","B","A","A","B","A","B"
"Height.10",73.4665785114479,0,0,0,"B","B","B","B","B","B","A","B","A","B","A","B","A","A","A","B","A","B","A","B"
"Height.11",75.0982082691763,0,0,0,"B","B","B","B","B","B","A","B","A","A","A","A","B","B","B","B","B","B","A","A"
"Height.12",74.2432463262864,0,0,0,"B","B","B","B","B","B","A","A","B","B","A","B","B","B","A","A","B","A","A","B"
"Height.13",76.2919836935623,0,0,0,"B","B","B","B","B","B","A","A","B","A","A","B","B","B","B","B","B","A","B","B"
"Height.14",75.9244405239666,0,0,0,"B","B","B","B","B","B","A","A","A","B","A","A","B","A","A","B","B","A","A","B"
"Height.15",78.2042692007687,0,0,0,"B","B","B","B","B","B","A","A","A","A","A","B","A","B","A","B","B","A","A","B"
"Height.16",71.6386342986219,0,0,0,"B","B","B","B","B","A","B","B","B","B","A","B","B","A","A","A","B","B","B","B"
"Height.17",75.2609132184828,0,0,0,"B","B","B","B","B","A","B","B","B","A","A","A","B","B","B","A","A","B","A","A"
"Height.18",74.5767739828256,0,0,0,"B","B","B","B","B","A","B","B","A","B","B","B","B","B","A","B","A","A","B","A"
"Height.19",76.3129143877577,0,0,0,"B","B","B","B","B","A","B","B","A","A","A","A","B","B","B","B","A","A","A","A"
"Height.20",73.2132294105249,0,0,0,"B","B","B","B","B","A","B","A","B","B","A","B","A","B","B","A","A","A","A","B"
"Height.21",77.9934379341307,0,0,0,"B","B","B","B","B","A","B","A","B","A","A","A","A","B","A","A","A","A","B","A"
"Height.22",76.8707719935223,0,0,0,"B","B","B","B","B","A","B","A","A","B","A","B","B","A","A","B","A","A","B","B"
"Height.23",79.5007729510919,0,0,0,"B","B","B","B","B","A","B","A","A","A","B","B","A","A","A","A","A","B","B","B"
"Height.24",72.0318835250135,0,0,0,"B","B","B","B","B","A","A","B","B","B","B","A","A","B","A","A","A","A","A","B"
"Height.25",75.3959033032261,0,0,0,"B","B","B","B","B","A","A","B","B","A","B","A","A","A","B","B","A","A","A","B"
"Height.26",72.6619646081925,0,0,0,"B","B","B","B","B","A","A","B","A","B","B","A","B","A","A","A","B","B","A","B"
"Height.27",77.30863165395,0,0,0,"B","B","B","B","B","A","A","B","A","A","A","B","A","B","B","A","A","B","B","B"
"Height.28",75.4374471938235,0,0,0,"B","B","B","B","B","A","A","A","B","B","A","A","A","A","A","B","A","B","B","A"
"Height.29",77.2680827642523,0,0,0,"B","B","B","B","B","A","A","A","B","A","B","A","A","B","A","B","B","B","A","B"
"Height.30",76.8806691763972,0,0,0,"B","B","B","B","B","A","A","A","A","B","A","A","A","B","A","B","B","A","A","A"
"Height.31",79.8899596610756,0,0,0,"B","B","B","B","B","A","A","A","A","A","B","A","B","A","A","A","B","B","A","B"
"Height.32",72.6248767580788,0,0,0,"B","B","B","B","A","B","B","B","B","B","B","A","B","A","A","B","A","B","B","B"
"Height.33",74.6629155919637,0,0,0,"B","B","B","B","A","B","B","B","B","A","A","A","A","B","A","B","A","A","A","B"
"Height.34",75.7596384147672,0,0,0,"B","B","B","B","A","B","B","B","A","B","B","B","A","A","A","A","A","A","B","A"
"Height.35",78.6820208390082,0,0,0,"B","B","B","B","A","B","B","B","A","A","A","A","A","A","B","A","B","B","A","B"
"Height.36",74.6272473486797,0,0,0,"B","B","B","B","A","B","B","A","B","B","A","B","A","A","A","A","A","A","B","B"
"Height.37",78.9562367566209,0,0,0,"B","B","B","B","A","B","B","A","B","A","B","A","A","B","B","A","B","A","A","B"
"Height.38",77.2476968553875,0,0,0,"B","B","B","B","A","B","B","A","A","B","B","B","A","A","B","B","B","A","B","B"
"Height.39",81.7632797095587,0,0,0,"B","B","B","B","A","B","B","A","A","A","B","A","B","A","A","A","B","B","A","A"
"Height.40",72.9817533153485,0,0,0,"B","B","B","B","A","B","A","B","B","B","B","A","A","A","A","B","B","A","B","B"
"Height.41",75.7432976969254,0,0,0,"B","B","B","B","A","B","A","B","B","A","B","B","A","B","A","B","B","B","A","A"
"Height.42",75.4633096231301,0,0,0,"B","B","B","B","A","B","A","B","A","B","B","B","B","A","A","A","A","A","A","A"
"Height.43",78.5649144188764,0,0,0,"B","B","B","B","A","B","A","B","A","A","A","A","A","A","A","A","B","B","B","A"
"Height.44",74.4007802648976,0,0,0,"B","B","B","B","A","B","A","A","B","B","B","A","A","A","A","A","A","B","B","B"
"Height.45",78.9865008285401,0,0,0,"B","B","B","B","A","B","A","A","B","A","A","A","A","A","A","B","B","B","A","A"
"Height.46",78.9465946146903,0,0,0,"B","B","B","B","A","B","A","A","A","B","A","A","A","B","A","A","A","B","A","B"
"Height.47",81.6954461124192,0,0,0,"B","B","B","B","A","B","A","A","A","A","B","A","A","B","A","B","A","A","A","A"
"Height.48",74.7739955844124,0,0,0,"B","B","B","B","A","A","B","B","B","B","A","B","B","A","B","A","B","B","B","A"
"Height.49",76.3765608447355,0,0,0,"B","B","B","B","A","A","B","B","B","A","A","A","A","B","A","B","A","A","B","B"
"Height.50",75.4746989436617,0,0,0,"B","B","B","B","A","A","B","B","A","B","A","B","A","B","A","A","B","A","B","A"
"Height.51",79.2759707603182,0,0,0,"B","B","B","B","A","A","B","B","A","A","B","A","B","B","B","B","A","B","B","B"
"Height.52",77.7073765063004,0,0,0,"B","B","B","B","A","A","B","A","B","B","A","A","B","B","A","B","A","A","B","B"
"Height.53",80.4840564857031,0,0,0,"B","B","B","B","A","A","B","A","B","A","B","A","B","A","A","A","B","B","A","A"
"Height.54",80.0647094880295,0,0,0,"B","B","B","B","A","A","B","A","A","B","B","A","B","B","B","B","A","B","B","A"
"Height.55",83.9264273228178,0,0,0,"B","B","B","B","A","A","B","A","A","A","B","A","B","A","B","A","A","B","A","A"
"Height.56",74.6450640276424,0,0,0,"B","B","B","B","A","A","A","B","B","B","B","A","B","B","B","B","A","A","A","B"
"Height.57",76.9593054952527,0,0,0,"B","B","B","B","A","A","A","B","B","A","A","B","B","A","A","B","B","B","B","B"
"Height.58",76.8752803384837,0,0,0,"B","B","B","B","A","A","A","B","A","B","A","B","A","A","B","B","A","A","B","B"
"Height.59",79.8551813407068,0,0,0,"B","B","B","B","A","A","A","B","A","A","A","B","B","A","A","A","A","A","A","A"
"Height.60",77.5720528748378,0,0,0,"B","B","B","B","A","A","A","A","B","B","B","B","A","B","B","A","B","A","B","A"
"Height.61",80.3931889913577,0,0,0,"B","B","B","B","A","A","A","A","B","A","A","A","B","B","B","A","B","B","B","A"
"Height.62",78.3873935115259,0,0,0,"B","B","B","B","A","A","A","A","A","B","B","A","B","A","A","B","A","A","A","B"
"Height.63",81.9015498400424,0,0,0,"B","B","B","B","A","A","A","A","A","A","B","A","B","A","B","B","A","B","A","B"
"Height.64",129.832206993943,0,0,0,"B","B","B","A","B","B","B","B","B","B","B","A","B","B","A","B","A","A","B","A"
"Height.65",134.444606380947,0,0,0,"B","B","B","A","B","B","B","B","B","A","B","A","A","A","B","A","B","B","A","B"
"Height.66",132.911279646755,0,0,0,"B","B","B","A","B","B","B","B","A","B","B","A","B","A","B","A","A","A","B","A"
"Height.67",135.205923094027,0,0,0,"B","B","B","A","B","B","B","B","A","A","B","A","A","A","B","B","B","B","B","A"
"Height.68",134.241182153411,0,0,0,"B","B","B","A","B","B","B","A","B","B","B","B","A","B","B","B","A","A","B","B"
"Height.69",135.308790637334,0,0,0,"B","B","B","A","B","B","B","A","B","A","B","A","B","A","A","B","A","B","A","B"
"Height.70",134.349533029914,0,0,0,"B","B","B","A","B","B","B","A","A","B","B","B","A","B","A","B","B","B","A","A"
"Height.71",139.331603222435,0,0,0,"B","B","B","A","B","B","B","A","A","A","B","B","B","B","A","B","A","A","B","A"
"Height.72",130.676845201165,0,0,0,"B","B","B","A","B","B","A","B","B","B","A","B","A","B","A","B","B","A","A","B"
"Height.73",134.500991460321,0,0,0,"B","B","B","A","B","B","A","B","B","A","B","A","A","A","A","A","B","B","B","A"
"Height.74",132.023678945544,0,0,0,"B","B","B","A","B","B","A","B","A","B","A","B","A","A","A","B","B","A","A","A"
"Height.75",135.394080835075,0,0,0,"B","B","B","A","B","B","A","B","A","A","A","A","B","B","A","B","B","B","B","B"
"Height.76",133.706431179658,0,0,0,"B","B","B","A","B","B","A","A","B","B","B","A","B","A","B","A","A","B","B","B"
"Height.77",137.23125815152,0,0,0,"B","B","B","A","B","B","A","A","B","A","A","B","A","A","A","A","B","A","B","A"
"Height.78",136.935287940212,0,0,0,"B","B","B","A","B","B","A","A","A","B","B","B","B","A","B","A","A","B","B","A"
"Height.79",139.576232707054,0,0,0,"B","B","B","A","B","B","A","A","A","A","A","A","A","B","B","A","B","B","B","B"
"Height.80",130.632003106401,0,0,0,"B","B","B","A","B","A","B","B","B","B","A","A","B","B","B","A","A","A","B","B"
"Height.81",134.141368329147,0,0,0,"B","B","B","A","B","A","B","B","B","A","B","B","A","B","B","B","B","A","A","B"
"Height.82",134.159546295839,0,0,0,"B","B","B","A","B","A","B","B","A","B","A","A","A","B","B","B","A","A","B","B"
"Height.83",137.55130952339,0,0,0,"B","B","B","A","B","A","B","B","A","A","B","A","B","B","B","B","A","B","A","A"
"Height.84",134.529418899302,0,0,0,"B","B","B","A","B","A","B","A","B","B","B","A","B","A","A","B","B","A","A","B"
"Height.85",136.521057676072,0,0,0,"B","B","B","A","B","A","B","A","B","A","B","A","B","B","A","A","A","B","B","A"
