height_data,LW,LN,P,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
,,,,1,1,2,2,2,3,3,4,4,4,1,1,2,2,2,3,3,4,4,4
,,,,0.81,0.82,1.21,1.35,2.3,4.5,4.9,6.1,6.3,7.2,0.84,0.9,1.27,1.5,3.1,4.7,5.2,6.5,6.7,6.9
69.8750054,0,0,0,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,A,B,A,B,B
73.39271089,0,0,0,B,B,B,B,B,B,B,B,B,A,A,B,A,B,B,A,A,A,A,B
72.10809656,0,0,0,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B
75.04210726,0,0,0,B,B,B,B,B,B,B,B,A,A,B,B,B,A,B,B,A,B,B,A
73.00841362,0,0,0,B,B,B,B,B,B,B,A,B,B,B,A,B,A,B,A,B,A,A,A
77.01963041,0,0,0,B,B,B,B,B,B,B,A,B,A,B,B,A,B,A,B,B,B,A,B
74.4876915,0,0,0,B,B,B,B,B,B,B,A,A,B,B,A,B,B,B,A,B,A,A,B
77.99607175,0,0,0,B,B,B,B,B,B,B,A,A,A,B,A,A,A,B,B,B,B,A,A
70.82549745,0,0,0,B,B,B,B,B,B,A,B,B,B,B,A,A,A,B,A,A,B,A,B
75.10225029,0,0,0,B,B,B,B,B,B,A,B,B,A,B,A,B,B,B,A,A,B,A,B
73.46657851,0,0,0,B,B,B,B,B,B,A,B,A,B,A,B,A,A,A,B,A,B,A,B
75.09820827,0,0,0,B,B,B,B,B,B,A,B,A,A,A,A,B,B,B,B,B,B,A,A
74.24324633,0,0,0,B,B,B,B,B,B,A,A,B,B,A,B,B,B,A,A,B,A,A,B
76.29198369,0,0,0,B,B,B,B,B,B,A,A,B,A,A,B,B,B,B,B,B,A,B,B
75.92444052,0,0,0,B,B,B,B,B,B,A,A,A,B,A,A,B,A,A,B,B,A,A,B
78.2042692,0,0,0,B,B,B,B,B,B,A,A,A,A,A,B,A,B,A,B,B,A,A,B
71.6386343,0,0,0,B,B,B,B,B,A,B,B,B,B,A,B,B,A,A,A,B,B,B,B
75.26091322,0,0,0,B,B,B,B,B,A,B,B,B,A,A,A,B,B,B,A,A,B,A,A
74.57677398,0,0,0,B,B,B,B,B,A,B,B,A,B,B,B,B,B,A,B,A,A,B,A
76.31291439,0,0,0,B,B,B,B,B,A,B,B,A,A,A,A,B,B,B,B,A,A,A,A
73.21322941,0,0,0,B,B,B,B,B,A,B,A,B,B,A,B,A,B,B,A,A,A,A,B
