"","SNP Name","Position (cM)","Mean LOD","Mean P Value","Variance LOD","Variance P Value","Joint LOD","Joint P Value","A Mean Est","A Mean Lower Bound","A Mean Upper Bound","A Standard Deviation Est","A Standard Deviation Lower Bound","A Standard Deviation Upper Bound","B Mean Est","B Mean Lower Bound","B Mean Upper Bound","B Standard Deviation Est","B Standard Deviation Lower Bound","B Standard Deviation Upper Bound"
"1","gpm27",0.01,NA,NA,NA,NA,NA,NA,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418
"2","tub1",0.81,NA,NA,NA,NA,NA,NA,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418
"3","gpm113b",0.82,NA,NA,NA,NA,NA,NA,64.1279894174999,64.1279894174999,64.1279894174999,64.1279894174999,64.1279894174999,64.1279894174999,64.1279894174999,64.1279894174999,64.1279894174999,64.1279894174999,64.1279894174999,64.1279894174999
"4","gpm325a",4.97,NA,NA,NA,NA,NA,NA,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418
"5","gpm699d",8.67,NA,NA,NA,NA,NA,NA,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418
"6","IDP1447",19.92,NA,NA,NA,NA,NA,NA,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999
"7","bnl5.62a",21.12,NA,NA,NA,NA,NA,NA,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999
"8","IDP1464",21.17,NA,NA,NA,NA,NA,NA,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999
"9","fus6",22.62,NA,NA,NA,NA,NA,NA,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999
"10","mmp102",24.42,NA,NA,NA,NA,NA,NA,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003
"11","AY110314",29.42,NA,NA,NA,NA,NA,NA,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999
"12","umc94a",38.62,NA,NA,NA,NA,NA,NA,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999
"13","gpm331",38.71,NA,NA,NA,NA,NA,NA,67.32197414,67.32197414,67.32197414,67.32197414,67.32197414,67.32197414,67.32197414,67.32197414,67.32197414,67.32197414,67.32197414,67.32197414
"14","lim179",47.02,NA,NA,NA,NA,NA,NA,67.3219741400001,67.3219741400001,67.3219741400001,67.3219741400001,67.3219741400001,67.3219741400001,67.3219741400001,67.3219741400001,67.3219741400001,67.3219741400001,67.3219741400001,67.3219741400001
"15","IDP755",52.47,NA,NA,NA,NA,NA,NA,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999
"16","AY107629",54.63,NA,NA,NA,NA,NA,NA,67.32197414,67.32197414,67.32197414,67.32197414,67.32197414,67.32197414,67.32197414,67.32197414,67.32197414,67.32197414,67.32197414,67.32197414
"17","mmp49",56.12,NA,NA,NA,NA,NA,NA,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003
"18","cdo1081a",57.82,NA,NA,NA,NA,NA,NA,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999
"19","bnlg1014",81.12,NA,NA,NA,NA,NA,NA,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999
"20","mmp171b",130.13,NA,NA,NA,NA,NA,NA,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418,57.86517418
"21","umc1568",140.13,0,1,0.411120789711087,0.521401184291774,0.411120789711087,0.814190920139221,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333
"22","IDP3783",140.14,0,1,0.411120803383444,0.521401177365575,0.411120803383444,0.814190914573266,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333
"23","bnlg1429",141.83,0,1,0.411120803522983,0.521401177294886,0.411120803522983,0.814190914516461,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333
"24","IDP209",144.3,0,1,0.411120804039959,0.521401177032994,0.411120804039959,0.814190914306002,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333
"25","php20640",145.23,NA,NA,NA,NA,NA,NA,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333,65.1092148533333
"26","lim504",149.93,NA,NA,NA,NA,NA,NA,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999,67.3219741399999
"27","gpm283b",151.4,NA,NA,NA,NA,NA,NA,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003
"28","IDP343",152.71,NA,NA,NA,NA,NA,NA,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003
"29","IDP622",152.96,NA,NA,NA,NA,NA,NA,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003,70.3908046550003
"30","IDP3970",156.2,NA,NA,NA,NA,NA,NA,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449
"31","umc1976",158.93,NA,NA,NA,NA,NA,NA,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449
"32","gpm667",162.62,NA,NA,NA,NA,NA,NA,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449
"33","gpm774d",162.74,NA,NA,NA,NA,NA,NA,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449
"34","umc2226",164.13,NA,NA,NA,NA,NA,NA,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449
"35","mmp135",164.33,NA,NA,NA,NA,NA,NA,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449
"36","gpm291",168.35,NA,NA,NA,NA,NA,NA,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449,65.08311449
